m#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
89,Friday Jul 9,boxscore,BOS,,PHI,W,11,5,,55-34,1,up 2.5,Richards,Velasquez,,3:44,N,32641,1.23,+,
90,Saturday Jul 10,boxscore,BOS,,PHI,L,2,11,,55-35,1,up 1.5,Falter,Perez,,3:27,D,33202,1.19,-,
91,Sunday Jul 11,boxscore,BOS,,PHI,L,4,5,,55-36,1,up 1.5,Sanchez,Pivetta,Suarez,3:35,D,32586,1.29,--,
92,Friday Jul 16,boxscore,BOS,@,NYY,W,4,0,,56-36,1,up 1.5,Rodriguez,Montgomery,Houck,3:03,N,40130,1.49,+,
93,Saturday Jul 17,boxscore,BOS,@,NYY,L,1,3,6,56-37,1,up 1.5,Cole,Sawamura,,2:43,N,37095,1.43,-,
94,Sunday Jul 18,boxscore,BOS,@,NYY,L,1,9,,56-38,1,up 0.5,Taillon,Perez,,3:44,N,40309,1.47,--,
95,Monday Jul 19,boxscore,BOS,@,TOR,W,13,4,,57-38,1,up 1.5,Pivetta,Stripling,,3:32,N,12811,1.59,+,
96,Wednesday Jul 21,boxscore,BOS,@,TOR,W,7,4,,58-38,1,up 1.0,Richards,Ray,Barnes,2:54,N,14607,1.53,++,
97,Thursday Jul 22,boxscore,BOS,,NYY,W-wo,5,4,10,59-38,1,up 1.0,Barnes,Kriske,,3:48,N,34761,1.53,+++,
98,Friday Jul 23,boxscore,BOS,,NYY,W,6,2,,60-38,1,up 1.0,Rios,Cole,,3:26,N,34922,1.40,++++,
99,Saturday Jul 24,boxscore,BOS,,NYY,L,3,4,,60-39,1,Tied,Taillon,Ottavino,Chapman,3:02,D,35136,1.30,-,
100,Sunday Jul 25,boxscore,BOS,,NYY,W,5,4,,61-39,1,up 1.0,Workman,Loaisiga,Barnes,2:50,D,32009,1.38,+,
101,Monday Jul 26,boxscore,BOS,,TOR,W,5,4,,62-39,1,up 1.5,Ottavino,Richards,Barnes,3:17,N,27142,1.32,++,
